user_id,Y,ave_h,ave_v,call,dis,t1,t2,t3,t4,trip_id,var_dir,var_v
1,0.0,41.71488029999999,2.825817539682806,0,1525.9414714287152,0,1,0,0,0,2042.4444444444443,5.704506666666665
1,0.0,47.93463440000001,0.5437215106146928,4,1109.1918816539733,0,0,1,0,1,9567.944736842104,13.984971315789476
1,0.0,51.01091366666666,1.3907928588704035,0,2336.532002902278,0,0,0,1,2,8520.657142857144,13.83271619047619
1,0.0,42.704025080459765,13.895645864805198,0,110053.51524925717,1,0,0,0,3,13434.709970596097,81.4212170859589
1,0.0,196.324201625,6.717058219897473,4,4030.234931938484,0,0,0,1,4,2957.9821428571427,29.37382689852229
1,0.0,52.41168957575758,0.4320584885623215,0,1710.9516147067932,0,0,0,1,5,8474.797348484848,15.02321268939394
1,0.0,49.466279125,4.634609531103211,4,1946.5360030633487,0,0,0,1,6,19673.26785714286,9.193057142857143
1,0.0,39.33746644859815,18.978417378489155,4,162834.82110743696,1,0,0,1,7,7334.239640275082,81.81476036300825
2,0.0,4.0607405517241375,10.56673856061356,0,17752.12078183078,0,0,0,1,0,19380.618226600986,62.947457741625875
2,0.0,9.816815976377956,0.6031241117155632,4,6260.428279607547,0,0,1,0,1,6986.291088613923,10.39144193590927
2,0.0,-17.57580793749999,2.1374034399717328,3,14748.083735804958,0,0,1,1,2,9423.025316455696,61.52290147708866
2,0.0,11.898059139534887,3.963423582204841,4,10463.43825702078,0,0,0,1,3,3297.9191583610186,24.778660463244766
2,0.0,248.6814487232143,16.865286047991628,0,126489.64535993722,0,0,0,1,4,20337.996058558558,100.1318920350457
2,0.0,42.62965621428572,6.650781837555915,0,46289.441589389164,1,0,0,0,5,7934.86027992278,254.30964352721404
2,0.0,103.81638871428572,2.71115307458202,4,976.0151068495272,0,0,0,1,6,1312.3333333333333,9.547057142857144
2,0.0,149.4832051944444,0.16838982181155554,4,434.44574027381327,1,0,0,0,7,8142.123015873014,0.2782046825396825
2,0.0,1.9130409583333332,6.731226771760335,4,9289.092945029262,0,0,1,0,8,15837.114130434782,62.92918155333359
2,0.0,91.0957900681818,0.02168297437297416,0,264.09862786282525,0,0,1,1,9,8832.090677770067,57.66662195635562
2,0.0,52.67217025,0.06766129835577077,4,28.417745309423722,0,0,0,1,10,726.0,0.4751583333333333
